
10/20/2009 6:06:41 PM   ********* SESSION STARTED *********
10/20/2009 6:06:42 PM   Loading saved list
10/20/2009 6:07:23 PM   Checking LiveMail:   Alredy running
10/20/2009 6:07:41 PM   Checking LiveMail:   Alredy running
10/20/2009 6:08:11 PM   Checking LiveMail:   Alredy running
10/20/2009 6:08:14 PM   Checking MSN Messager:   Alredy running
10/20/2009 6:08:41 PM   Checking LiveMail:   NOT running
10/20/2009 6:08:41 PM   Starting LiveMail:   Started
10/20/2009 6:08:41 PM   Checking MSN Messager:   Alredy running
10/20/2009 6:09:11 PM   Checking LiveMail:   Alredy running
10/20/2009 6:09:11 PM   Checking MSN Messager:   Alredy running
10/23/2009 11:10:26 AM   ********* SESSION STARTED *********
10/23/2009 11:10:26 AM   Loading saved list
10/23/2009 11:11:28 AM   Checking firefox:   Alredy running
10/23/2009 11:11:43 AM   Saving List
10/23/2009 11:11:43 AM   ********* SESSION FINISHED *********
6/10/2011 1:19:44 PM   ********* SESSION STARTED *********
6/10/2011 1:19:44 PM   Loading saved list
6/10/2011 1:19:44 PM   Checking firefox:   NOT running
6/10/2011 1:19:45 PM   Starting firefox:   Started
6/10/2011 1:19:45 PM   Checking firefox:   Alredy running
6/10/2011 1:19:46 PM   Checking firefox:   Alredy running
6/10/2011 1:19:47 PM   Checking firefox:   Alredy running
6/10/2011 1:19:48 PM   Checking firefox:   Alredy running
6/10/2011 1:19:49 PM   Checking firefox:   Alredy running
6/10/2011 1:19:50 PM   Checking firefox:   Alredy running
6/10/2011 1:19:51 PM   Checking firefox:   Alredy running
6/10/2011 1:19:52 PM   Checking firefox:   Alredy running
6/10/2011 1:19:53 PM   Checking firefox:   Alredy running
6/10/2011 1:19:54 PM   Checking firefox:   Alredy running
6/10/2011 1:19:55 PM   Saving List
6/10/2011 1:19:55 PM   ********* SESSION FINISHED *********
6/10/2011 1:21:42 PM   ********* SESSION STARTED *********
6/10/2011 1:21:42 PM   Loading saved list
6/10/2011 1:21:42 PM   Checking PhotoBooth:   NOT running
6/10/2011 1:21:43 PM   Starting PhotoBooth:   Started
6/10/2011 1:21:43 PM   Checking CoreControllUI:   NOT running
6/10/2011 1:21:44 PM   Starting CoreControllUI:   Started
6/10/2011 1:21:45 PM   Checking VideoWallGallery:   NOT running
6/10/2011 1:21:46 PM   Starting VideoWallGallery:   Started
6/10/2011 1:21:46 PM   Checking PhotoBooth:   Alredy running
6/10/2011 1:21:46 PM   Checking CoreControllUI:   NOT running
6/10/2011 1:21:47 PM   Starting CoreControllUI:   Started
6/10/2011 1:21:47 PM   Checking VideoWallGallery:   NOT running
6/10/2011 1:21:48 PM   Starting VideoWallGallery:   Started
6/10/2011 1:21:49 PM   Checking PhotoBooth:   Alredy running
6/10/2011 1:21:49 PM   Checking CoreControllUI:   Alredy running
6/10/2011 1:21:50 PM   Checking VideoWallGallery:   NOT running
6/10/2011 1:21:51 PM   Starting VideoWallGallery:   Started
6/10/2011 1:21:52 PM   Checking PhotoBooth:   Alredy running
6/10/2011 1:21:52 PM   Checking CoreControllUI:   Alredy running
6/10/2011 1:21:53 PM   Checking VideoWallGallery:   Alredy running
6/10/2011 1:21:53 PM   Checking PhotoBooth:   Alredy running
6/10/2011 1:21:53 PM   Checking CoreControllUI:   Alredy running
6/10/2011 1:21:54 PM   Checking VideoWallGallery:   Alredy running
6/10/2011 1:21:54 PM   Checking PhotoBooth:   Alredy running
6/10/2011 1:21:54 PM   Checking CoreControllUI:   Alredy running
6/10/2011 1:21:55 PM   Checking VideoWallGallery:   Alredy running
6/10/2011 1:21:55 PM   Checking PhotoBooth:   Alredy running
6/10/2011 1:21:55 PM   Checking CoreControllUI:   Alredy running
6/10/2011 1:21:56 PM   Checking VideoWallGallery:   Alredy running
6/10/2011 1:21:56 PM   Checking PhotoBooth:   Alredy running
6/10/2011 1:21:56 PM   Checking CoreControllUI:   Alredy running
6/10/2011 1:21:56 PM   Checking VideoWallGallery:   Alredy running
6/10/2011 1:21:56 PM   Checking PhotoBooth:   Alredy running
6/10/2011 1:21:56 PM   Checking CoreControllUI:   Alredy running
6/10/2011 1:21:57 PM   Checking VideoWallGallery:   Alredy running
6/10/2011 1:21:57 PM   Checking PhotoBooth:   Alredy running
6/10/2011 1:21:57 PM   Checking CoreControllUI:   Alredy running
6/10/2011 1:21:57 PM   Checking VideoWallGallery:   Alredy running
6/10/2011 1:21:58 PM   Checking PhotoBooth:   Alredy running
6/10/2011 1:21:58 PM   Checking CoreControllUI:   Alredy running
6/10/2011 1:21:58 PM   Checking VideoWallGallery:   Alredy running
6/10/2011 1:21:58 PM   Checking PhotoBooth:   Alredy running
6/10/2011 1:21:58 PM   Checking CoreControllUI:   Alredy running
6/10/2011 1:21:59 PM   Checking VideoWallGallery:   Alredy running
6/10/2011 1:21:59 PM   Checking PhotoBooth:   Alredy running
6/10/2011 1:21:59 PM   Checking CoreControllUI:   Alredy running
6/10/2011 1:21:59 PM   Checking VideoWallGallery:   Alredy running
6/10/2011 1:21:59 PM   Checking PhotoBooth:   Alredy running
6/10/2011 1:21:59 PM   Checking CoreControllUI:   Alredy running
6/10/2011 1:22:00 PM   Checking VideoWallGallery:   Alredy running
6/10/2011 1:22:00 PM   Checking PhotoBooth:   Alredy running
6/10/2011 1:22:00 PM   Checking CoreControllUI:   Alredy running
6/10/2011 1:22:00 PM   Checking VideoWallGallery:   Alredy running
6/10/2011 1:22:00 PM   Checking PhotoBooth:   Alredy running
6/10/2011 1:22:00 PM   Checking CoreControllUI:   Alredy running
6/10/2011 1:22:00 PM   Checking VideoWallGallery:   Alredy running
6/10/2011 1:22:01 PM   Checking PhotoBooth:   Alredy running
6/10/2011 1:22:01 PM   Checking CoreControllUI:   Alredy running
6/10/2011 1:22:01 PM   Checking VideoWallGallery:   Alredy running
6/10/2011 1:22:01 PM   Checking PhotoBooth:   Alredy running
6/10/2011 1:22:01 PM   Checking CoreControllUI:   Alredy running
6/10/2011 1:22:02 PM   Checking VideoWallGallery:   Alredy running
6/10/2011 1:22:02 PM   Checking PhotoBooth:   Alredy running
6/10/2011 1:22:02 PM   Checking CoreControllUI:   Alredy running
6/10/2011 1:22:02 PM   Checking VideoWallGallery:   Alredy running
6/10/2011 1:22:02 PM   Checking PhotoBooth:   NOT running
6/10/2011 1:22:03 PM   Starting PhotoBooth:   Started
6/10/2011 1:22:03 PM   Checking CoreControllUI:   Alredy running
6/10/2011 1:22:03 PM   Checking VideoWallGallery:   Alredy running
6/10/2011 1:22:03 PM   Checking PhotoBooth:   Alredy running
6/10/2011 1:22:04 PM   Checking CoreControllUI:   Alredy running
6/10/2011 1:22:04 PM   Checking VideoWallGallery:   Alredy running
6/10/2011 1:22:04 PM   Checking PhotoBooth:   Alredy running
6/10/2011 1:22:04 PM   Checking CoreControllUI:   Alredy running
6/10/2011 1:22:05 PM   Checking VideoWallGallery:   Alredy running
6/10/2011 1:22:05 PM   Checking PhotoBooth:   NOT running
6/10/2011 1:22:05 PM   Starting PhotoBooth:   Started
6/10/2011 1:22:05 PM   Checking CoreControllUI:   Alredy running
6/10/2011 1:22:06 PM   Checking VideoWallGallery:   Alredy running
6/10/2011 1:22:06 PM   Checking PhotoBooth:   Alredy running
6/10/2011 1:22:06 PM   Checking CoreControllUI:   Alredy running
6/10/2011 1:22:07 PM   Checking VideoWallGallery:   NOT running
6/10/2011 1:22:07 PM   Starting VideoWallGallery:   Started
6/10/2011 1:22:07 PM   Checking PhotoBooth:   Alredy running
